country,date,cases,new_cases
Japan,2020/1/22,2,0
Japan,2020/1/23,2,0
Japan,2020/1/24,2,0
Japan,2020/1/25,2,0
Japan,2020/1/26,4,2
Japan,2020/1/27,4,0
Japan,2020/1/28,7,3
Japan,2020/1/29,7,0
Japan,2020/1/30,11,4
Japan,2020/1/31,15,4
Japan,2020/2/1,20,5
Japan,2020/2/2,20,0
Japan,2020/2/3,20,0
Japan,2020/2/4,22,2
Japan,2020/2/5,23,1
Japan,2020/2/6,23,0
Japan,2020/2/7,23,0
Japan,2020/2/8,24,1
Japan,2020/2/9,24,0
Japan,2020/2/10,26,2
Japan,2020/2/11,27,1
Japan,2020/2/12,28,1
Japan,2020/2/13,33,5
Japan,2020/2/14,43,10
Japan,2020/2/15,54,11
Japan,2020/2/16,60,6
Japan,2020/2/17,67,7
Japan,2020/2/18,79,12
Japan,2020/2/19,85,6
Japan,2020/2/20,95,10
Japan,2020/2/21,112,17
Japan,2020/2/22,137,25
Japan,2020/2/23,149,12
Japan,2020/2/24,160,11
Japan,2020/2/25,173,13
Japan,2020/2/26,192,19
Japan,2020/2/27,218,26
Japan,2020/2/28,236,18
Japan,2020/2/29,245,9
Japan,2020/3/1,259,14
Japan,2020/3/2,278,19
Japan,2020/3/3,298,20
Japan,2020/3/4,333,35
Japan,2020/3/5,365,32
Japan,2020/3/6,420,55
Japan,2020/3/7,466,46
Japan,2020/3/8,499,33
Japan,2020/3/9,527,28
Japan,2020/3/10,585,58
Japan,2020/3/11,640,55
Japan,2020/3/12,696,56
Japan,2020/3/13,733,37
Japan,2020/3/14,795,62
Japan,2020/3/15,826,31
Japan,2020/3/16,843,17
Japan,2020/3/17,893,50
Japan,2020/3/18,928,35
Japan,2020/3/19,968,40
Japan,2020/3/20,1022,54
Japan,2020/3/21,1059,37
Japan,2020/3/22,1104,45
Japan,2020/3/23,1144,40
Japan,2020/3/24,1217,73
Japan,2020/3/25,1314,97
Japan,2020/3/26,1416,102
Japan,2020/3/27,1530,114
Japan,2020/3/28,1728,198
Japan,2020/3/29,1907,179
Japan,2020/3/30,2001,94
Japan,2020/3/31,2255,254
Japan,2020/4/1,2535,280
Japan,2020/4/2,2818,283
Japan,2020/4/3,3154,336
Japan,2020/4/4,3525,371
Japan,2020/4/5,3876,351
Japan,2020/4/6,4110,234
Japan,2020/4/7,4485,375
Japan,2020/4/8,5020,535
Japan,2020/4/9,5614,594
Japan,2020/4/10,6250,636
Japan,2020/4/11,6951,701
Japan,2020/4/12,7473,522
Japan,2020/4/13,7773,300
Japan,2020/4/14,8277,504
Japan,2020/4/15,8835,558
Japan,2020/4/16,9398,563
Japan,2020/4/17,9958,560
Japan,2020/4/18,10548,590
Japan,2020/4/19,10914,366
Japan,2020/4/20,11258,344
Japan,2020/4/21,11641,383
Japan,2020/4/22,12037,396
Japan,2020/4/23,12469,432
Japan,2020/4/24,12854,385
Japan,2020/4/25,13186,332
Japan,2020/4/26,13405,219
Japan,2020/4/27,13576,171
Japan,2020/4/28,13860,284
Japan,2020/4/29,14076,216
Japan,2020/4/30,14284,208
Japan,2020/5/1,14558,274
Japan,2020/5/2,14861,303
Japan,2020/5/3,15061,200
Japan,2020/5/4,15229,168
Japan,2020/5/5,15354,125
Japan,2020/5/6,15455,101
Japan,2020/5/7,15553,98
Japan,2020/5/8,15640,87
Japan,2020/5/9,15755,115
Japan,2020/5/10,15824,69
Japan,2020/5/11,15861,37
Japan,2020/5/12,15948,87
Japan,2020/5/13,15998,50
Japan,2020/5/14,16096,98
Japan,2020/5/15,16148,52
Japan,2020/5/16,16202,54
Japan,2020/5/17,16226,24
Japan,2020/5/18,16259,33
Japan,2020/5/19,16287,28
Japan,2020/5/20,16321,34
Japan,2020/5/21,16362,41
Japan,2020/5/22,16385,23
Japan,2020/5/23,16410,25
Japan,2020/5/24,16451,41
Japan,2020/5/25,16472,21
Japan,2020/5/26,16502,30
Japan,2020/5/27,16528,26
Japan,2020/5/28,16598,70
Japan,2020/5/29,16673,75
Japan,2020/5/30,16716,43
Japan,2020/5/31,16751,35
Japan,2020/6/1,16787,36
Japan,2020/6/2,16837,50
Japan,2020/6/3,16867,30
Japan,2020/6/4,16911,44
Japan,2020/6/5,16958,47
Japan,2020/6/6,17000,42
Japan,2020/6/7,17039,39
Japan,2020/6/8,17060,21
Japan,2020/6/9,17111,51
Japan,2020/6/10,17146,35
Japan,2020/6/11,17187,41
Japan,2020/6/12,17250,63
Japan,2020/6/13,17293,43
Japan,2020/6/14,17369,76
Japan,2020/6/15,17439,70
Japan,2020/6/16,17484,45
Japan,2020/6/17,17530,46
Japan,2020/6/18,17588,58
Japan,2020/6/19,17658,70
Japan,2020/6/20,17725,67
Japan,2020/6/21,17780,55
Japan,2020/6/22,17820,40
Japan,2020/6/23,17879,59
Japan,2020/6/24,17963,84
Japan,2020/6/25,18055,92
Japan,2020/6/26,18162,107
Japan,2020/6/27,18254,92
Japan,2020/6/28,18366,112
Japan,2020/6/29,18476,110
Japan,2020/6/30,18615,139
Japan,2020/7/1,18838,223
Japan,2020/7/2,19055,217
Japan,2020/7/3,19185,130
Japan,2020/7/4,19461,276
Japan,2020/7/5,19668,207
Japan,2020/7/6,19848,180
Japan,2020/7/7,20055,207
Japan,2020/7/8,20261,206
Japan,2020/7/9,20617,356
Japan,2020/7/10,21044,427
Japan,2020/7/11,21430,386
Japan,2020/7/12,21841,411
Japan,2020/7/13,22125,284
Japan,2020/7/14,22437,312
Japan,2020/7/15,23172,735
Japan,2020/7/16,23510,338
Japan,2020/7/17,24104,594
Japan,2020/7/18,24946,842
Japan,2020/7/19,25446,500
Japan,2020/7/20,25706,260
Japan,2020/7/21,26463,757
Japan,2020/7/22,27136,673
Japan,2020/7/23,28114,978
Japan,2020/7/24,28883,769
Japan,2020/7/25,29684,801
Japan,2020/7/26,30548,864
Japan,2020/7/27,31142,594
Japan,2020/7/28,32116,974
Japan,2020/7/29,33382,1266
Japan,2020/7/30,35144,1762
Japan,2020/7/31,36234,1090
Japan,2020/8/1,37804,1570
Japan,2020/8/2,39116,1312
Japan,2020/8/3,40099,983
Japan,2020/8/4,41347,1248
Japan,2020/8/5,42686,1339
Japan,2020/8/6,44167,1481
Japan,2020/8/7,45764,1597
Japan,2020/8/8,47342,1578
Japan,2020/8/9,48782,1440
Japan,2020/8/10,49617,835
Japan,2020/8/11,50302,685
Japan,2020/8/12,51288,986
Japan,2020/8/13,52471,1183
Japan,2020/8/14,53818,1347
Japan,2020/8/15,55051,1233
Japan,2020/8/16,56074,1023
Japan,2020/8/17,56717,643
Japan,2020/8/18,57636,919
Japan,2020/8/19,58728,1092
Japan,2020/8/20,59900,1172
Japan,2020/8/21,60949,1049
Japan,2020/8/22,61916,967
Japan,2020/8/23,62658,742
Japan,2020/8/24,63158,500
Japan,2020/8/25,63888,730
Japan,2020/8/26,64779,891
Japan,2020/8/27,65653,874
Japan,2020/8/28,66499,846
Japan,2020/8/29,67353,854
Japan,2020/8/30,67958,605
Japan,2020/8/31,68396,438
Japan,2020/9/1,69023,627
Japan,2020/9/2,69619,596
Japan,2020/9/3,70278,659
Japan,2020/9/4,70866,588
Japan,2020/9/5,71467,601
Japan,2020/9/6,71918,451
Japan,2020/9/7,72213,295
Japan,2020/9/8,72724,511
Japan,2020/9/9,73264,540
Japan,2020/9/10,73916,652
Japan,2020/9/11,74558,642
Japan,2020/9/12,75206,648
Japan,2020/9/13,75646,440
Japan,2020/9/14,75914,268
Japan,2020/9/15,76446,532
Japan,2020/9/16,76997,551
Japan,2020/9/17,77488,491
Japan,2020/9/18,78061,573
Japan,2020/9/19,78662,601
Japan,2020/9/20,79142,480
Japan,2020/9/21,79462,320
Japan,2020/9/22,79773,311
Japan,2020/9/23,80009,236
Japan,2020/9/24,80490,481
Japan,2020/9/25,81054,564
Japan,2020/9/26,81703,649
Japan,2020/9/27,82186,483
Japan,2020/9/28,82484,298
Japan,2020/9/29,83022,538
Japan,2020/9/30,83591,569
Japan,2020/10/1,84244,653
Japan,2020/10/2,84768,524
Japan,2020/10/3,85345,577
Japan,2020/10/4,85746,401
Japan,2020/10/5,86027,281
Japan,2020/10/6,86540,513
Japan,2020/10/7,87039,499
Japan,2020/10/8,87679,640
Japan,2020/10/9,88267,588
Japan,2020/10/10,88962,695
Japan,2020/10/11,89400,438
Japan,2020/10/12,89652,252
Japan,2020/10/13,90153,501
Japan,2020/10/14,90694,541
Japan,2020/10/15,91402,708
Japan,2020/10/16,92044,642
Japan,2020/10/17,92670,626
Japan,2020/10/18,93098,428
Japan,2020/10/19,93408,310
Japan,2020/10/20,93895,487
Japan,2020/10/21,94515,620
Japan,2020/10/22,95134,619
Japan,2020/10/23,95868,734
Japan,2020/10/24,96599,731
Japan,2020/10/25,97095,496
Japan,2020/10/26,97503,408
Japan,2020/10/27,98146,643
Japan,2020/10/28,98877,731
Japan,2020/10/29,99674,797
Japan,2020/10/30,100450,776
Japan,2020/10/31,101327,877
Japan,2020/11/1,101943,616
Japan,2020/11/2,102431,488
Japan,2020/11/3,103309,878
Japan,2020/11/4,103928,619
Japan,2020/11/5,104964,1036
Japan,2020/11/6,106136,1172
Japan,2020/11/7,107439,1303
Japan,2020/11/8,108394,955
Japan,2020/11/9,109191,797
Japan,2020/11/10,110487,1296
Japan,2020/11/11,112011,1524
Japan,2020/11/12,113655,1644
Japan,2020/11/13,115360,1705
Japan,2020/11/14,117113,1753
Japan,2020/11/15,118611,1498
Japan,2020/11/16,119557,946
Japan,2020/11/17,121247,1690
Japan,2020/11/18,123477,2230
Japan,2020/11/19,125859,2382
Japan,2020/11/20,128285,2426
Japan,2020/11/21,130871,2586
Japan,2020/11/22,133034,2163
Japan,2020/11/23,134554,1520
Japan,2020/11/24,135786,1232
Japan,2020/11/25,137735,1949
Japan,2020/11/26,140225,2490
Japan,2020/11/27,142778,2553
Japan,2020/11/28,145457,2679
Japan,2020/11/29,147515,2058
Japan,2020/11/30,148962,1447
Japan,2020/12/1,150976,2014
Japan,2020/12/2,153432,2456
Japan,2020/12/3,155938,2506
Japan,2020/12/4,158387,2449
Japan,2020/12/5,160870,2483
Japan,2020/12/6,162917,2047
Japan,2020/12/7,164434,1517
Japan,2020/12/8,166592,2158
Japan,2020/12/9,169429,2837
Japan,2020/12/10,172406,2977
Japan,2020/12/11,175310,2904
Japan,2020/12/12,178272,2962
Japan,2020/12/13,180639,2367
Japan,2020/12/14,182311,1672
Japan,2020/12/15,184752,2441
Japan,2020/12/16,187751,2999
Japan,2020/12/17,190950,3199
Japan,2020/12/18,193753,2803
Japan,2020/12/19,196815,3062
Japan,2020/12/20,199270,2455
Japan,2020/12/21,201074,1804
Japan,2020/12/22,203732,2658
Japan,2020/12/23,207007,3275
Japan,2020/12/24,210769,3762
Japan,2020/12/25,214575,3806
Japan,2020/12/26,218467,3892
Japan,2020/12/27,221412,2945
Japan,2020/12/28,223786,2374
Japan,2020/12/29,227415,3629
Japan,2020/12/30,231271,3856
Japan,2020/12/31,235811,4540
Japan,2021/1/1,239068,3257
Japan,2021/1/2,242097,3029
Japan,2021/1/3,245293,3196
